Accounting Item Id,Actuals General Fund Revenues Id,County District Code,Fund Code,Last Updated,Revenue Code,School Year Code,Amount
1012031,2024-20253625012000,36250,1,12/8/2025 14:09,2000,2024-2025,628665.81
1012025,2024-20253625011100,36250,1,12/8/2025 14:09,1100,2024-2025,4672164.06
1012024,2024-20253625011000,36250,1,12/8/2025 14:09,1000,2024-2025,4672164.06
1012024,2024-20253830611000,38306,1,12/8/2025 14:09,1000,2024-2025,397663.64
1012025,2024-20253830611100,38306,1,12/8/2025 14:09,1100,2024-2025,397663.64
1012031,2024-20253830612000,38306,1,12/8/2025 14:09,2000,2024-2025,410316.84
1012039,2024-20253830612188,38306,1,12/8/2025 14:09,2188,2024-2025,262340.73
1012040,2024-20253830612200,38306,1,12/8/2025 14:09,2200,2024-2025,196.5
1012045,2024-20253830612298,38306,1,12/8/2025 14:09,2298,2024-2025,13425.67
1012046,2024-20253830612300,38306,1,12/8/2025 14:09,2300,2024-2025,114396.99
1012049,2024-20253830612500,38306,1,12/8/2025 14:09,2500,2024-2025,17926.85
1012053,2024-20253830612900,38306,1,12/8/2025 14:09,2900,2024-2025,2030.1
1012055,2024-20253830613000,38306,1,12/8/2025 14:09,3000,2024-2025,2551216.98
1012056,2024-20253830613100,38306,1,12/8/2025 14:09,3100,2024-2025,2507053.98
1012057,2024-20253830613121,38306,1,12/8/2025 14:09,3121,2024-2025,35286.1
1012058,2024-20253830613300,38306,1,12/8/2025 14:09,3300,2024-2025,8876.9
1012061,2024-20253830614000,38306,1,12/8/2025 14:09,4000,2024-2025,680419.58
1012063,2024-20253830614109,38306,1,12/8/2025 14:09,4109,2024-2025,117640.12
1012064,2024-20253830614121,38306,1,12/8/2025 14:09,4121,2024-2025,286740.54
1012069,2024-20253830614155,38306,1,12/8/2025 14:09,4155,2024-2025,30263.28
1012071,2024-20253830614158,38306,1,12/8/2025 14:09,4158,2024-2025,29886.99
1012076,2024-20253830614198,38306,1,12/8/2025 14:09,4198,2024-2025,31243.7
1012077,2024-20253830614199,38306,1,12/8/2025 14:09,4199,2024-2025,184644.95
1012088,2024-20253830615000,38306,1,12/8/2025 14:09,5000,2024-2025,20097
1012089,2024-20253830615200,38306,1,12/8/2025 14:09,5200,2024-2025,20097
1012096,2024-20253830616000,38306,1,12/8/2025 14:09,6000,2024-2025,127603.92
1012108,2024-20253830616124,38306,1,12/8/2025 14:09,6124,2024-2025,40859
1012110,2024-20253830616138,38306,1,12/8/2025 14:09,6138,2024-2025,1497
1012112,2024-20253830616151,38306,1,12/8/2025 14:09,6151,2024-2025,30851
1012113,2024-20253830616152,38306,1,12/8/2025 14:09,6152,2024-2025,14678
1012126,2024-20253830616198,38306,1,12/8/2025 14:09,6198,2024-2025,34722.45
1012190,2024-20253830616998,38306,1,12/8/2025 14:09,6998,2024-2025,4996.47
1012203,2024-20253830618000,38306,1,12/8/2025 14:09,8000,2024-2025,31120
1012204,2024-20253830618100,38306,1,12/8/2025 14:09,8100,2024-2025,10000
1012211,2024-20253830618500,38306,1,12/8/2025 14:09,8500,2024-2025,21120
1012219,2024-20253320619500,33206,1,12/8/2025 14:09,9500,2024-2025,16580.21
1012214,2024-20253320619000,33206,1,12/8/2025 14:09,9000,2024-2025,16580.21
1012211,2024-20253320618500,33206,1,12/8/2025 14:09,8500,2024-2025,54669.7
1012210,2024-20253320618200,33206,1,12/8/2025 14:09,8200,2024-2025,24195
1012204,2024-20253320618100,33206,1,12/8/2025 14:09,8100,2024-2025,225
1012203,2024-20253320618000,33206,1,12/8/2025 14:09,8000,2024-2025,79089.7
1012202,2024-20253320617301,33206,1,12/8/2025 14:09,7301,2024-2025,1594.6
1012192,2024-20253320617100,33206,1,12/8/2025 14:09,7100,2024-2025,783
