Accounting Item Id,Actuals General Fund Revenues Id,County District Code,Fund Code,Last Updated,Revenue Code,School Year Code,Amount
902661,2023-20241406819901,14068,1,11/19/2024 4:47:42 PM,9901,2023-2024,120000
902659,2023-20241406819500,14068,1,11/19/2024 4:47:42 PM,9500,2023-2024,104114.49
902654,2023-20241406819000,14068,1,11/19/2024 4:47:42 PM,9000,2023-2024,224114.49
902651,2023-20241406818500,14068,1,11/19/2024 4:47:42 PM,8500,2023-2024,13668.96
902650,2023-20241406818200,14068,1,11/19/2024 4:47:42 PM,8200,2023-2024,44000
902647,2023-20241406818189,14068,1,11/19/2024 4:47:42 PM,8189,2023-2024,60518.42
902643,2023-20241406818000,14068,1,11/19/2024 4:47:42 PM,8000,2023-2024,118187.38
902642,2023-20241406817301,14068,1,11/19/2024 4:47:42 PM,7301,2023-2024,233280.58
902641,2023-20241406817199,14068,1,11/19/2024 4:47:42 PM,7199,2023-2024,180883.51
902640,2023-20241406817198,14068,1,11/19/2024 4:47:42 PM,7198,2023-2024,35613.63
902638,2023-20241406817189,14068,1,11/19/2024 4:47:42 PM,7189,2023-2024,154373.68
902631,2023-20241406817000,14068,1,11/19/2024 4:47:42 PM,7000,2023-2024,604151.4
902630,2023-20241406816998,14068,1,11/19/2024 4:47:42 PM,6998,2023-2024,73123.21
902599,2023-20241406816300,14068,1,11/19/2024 4:47:42 PM,6300,2023-2024,74369.7
902566,2023-20241406816198,14068,1,11/19/2024 4:47:42 PM,6198,2023-2024,764673.43
902559,2023-20241406816164,14068,1,11/19/2024 4:47:42 PM,6164,2023-2024,17221.51
902553,2023-20241406816152,14068,1,11/19/2024 4:47:42 PM,6152,2023-2024,37951.84
902552,2023-20241406816151,14068,1,11/19/2024 4:47:42 PM,6151,2023-2024,435208.19
902550,2023-20241406816138,14068,1,11/19/2024 4:47:42 PM,6138,2023-2024,54323.36
902548,2023-20241406816124,14068,1,11/19/2024 4:47:42 PM,6124,2023-2024,430519.13
902542,2023-20241406816114,14068,1,11/19/2024 4:47:42 PM,6114,2023-2024,361408.09
902541,2023-20241406816113,14068,1,11/19/2024 4:47:42 PM,6113,2023-2024,1716780.47
